6;0;0;ruRU;Ты не бери свечу!
6;0;1;ruRU;Иииииии! Я бегу!
6;0;2;ruRU;Нет, убей меня! Нет, убей меня!
29;1;0;ruRU;Да начнется битва за Берег Древних!
29;2;0;ruRU;1 раунд - завершен!
38;0;0;ruRU;Братство не потерпит ваших действий.
38;0;1;ruRU;Ах, шанс использовать это только что заточенное лезвие.
38;0;2;ruRU;Почувствуй силу Братства!
40;0;0;ruRU;Ты не бери свечу!
40;0;1;ruRU;Иииииии! Я бегу!
40;0;2;ruRU;Нет, убей меня! Нет, убей меня!
54;0;0;ruRU;Приветствую $N!
61;0;0;ruRU;Братство не потерпит ваших действий.
61;0;1;ruRU;Ах, шанс использовать это только что заточенное лезвие.
61;0;2;ruRU;Почувствуй силу Братства!
68;0;0;ruRU;Попробуй лезвие, дворняга!
68;0;1;ruRU;Пожалуйста, скажи мне, что ты не только что сделал то, что я думаю, ты только что сделал. Пожалуйста, скажи мне, что я не собираюсь причинять тебе боль...
68;0;2;ruRU;Как будто нам не хватает проблем, вы идите и создайте еще!
68;2;0;ruRU;%s бросает гнилое яблоко в $n.
68;3;0;ruRU;%s бросает гнилой банан в $n.
68;4;0;ruRU;%s плюет на $n.
68;5;0;ruRU;Монстр!
68;5;1;ruRU;Убийца!
68;5;2;ruRU;ПОЛУЧИТЕ ВЕРЕВКУ!
68;5;3;ruRU;Как ты посмел ступить в наш город!
68;5;4;ruRU;Вы мне противны.
68;5;5;ruRU;Похоже, мы собираемся устроить себе казнь.
68;5;6;ruRU;Предательская собака.
68;5;7;ruRU;Моя семья была уничтожена Плетью! МОНСТР!
80;0;0;ruRU;Ты не бери свечу!
80;0;1;ruRU;Иииииии! Я бегу!
80;0;2;ruRU;Нет, убей меня! Нет, убей меня!
95;0;0;ruRU;Братство не потерпит ваших действий.
95;0;1;ruRU;Ах, шанс использовать это только что заточенное лезвие.
95;0;2;ruRU;Почувствуй силу Братства!
97;0;0;ruRU;Больше костей, чтобы грызть...
97;0;1;ruRU;Грррр... свежее мясо!
98;0;0;ruRU;Больше костей, чтобы грызть...
98;0;1;ruRU;Грррр... свежее мясо!
103;0;0;ruRU;Я вижу, эти дураки из аббатства прислали нам свежего мяса.
103;0;1;ruRU;Эта земля теперь принадлежит Братству Справедливости!
116;0;0;ruRU;Братство не потерпит ваших действий.
116;0;1;ruRU;Ах, шанс использовать это только что заточенное лезвие.
116;0;2;ruRU;Почувствуй силу Братства!
117;0;0;ruRU;Больше костей, чтобы грызть...
117;0;1;ruRU;Грррр... свежее мясо!
121;0;0;ruRU;Братство не потерпит ваших действий.
121;0;1;ruRU;Ах, шанс использовать это только что заточенное лезвие.
121;0;2;ruRU;Почувствуй силу Братства!
122;0;0;ruRU;Братство не потерпит ваших действий.
122;0;1;ruRU;Ах, шанс использовать это только что заточенное лезвие.
122;0;2;ruRU;Почувствуй силу Братства!
123;0;0;ruRU;Больше костей, чтобы грызть...
123;0;1;ruRU;Грррр... свежее мясо!
124;0;0;ruRU;Больше костей, чтобы грызть...
124;0;1;ruRU;Грррр... свежее мясо!
125;0;0;ruRU;Больше костей, чтобы грызть...
125;0;1;ruRU;Грррр... свежее мясо!
197;0;0;ruRU;Вы уволены, $n.
212;0;0;ruRU;Рааар!!! Я разбиваю $r!
212;0;1;ruRU;Меня разбить! Ты умрешь!
212;0;2;ruRU;Я раздавлю тебя!
233;0;0;ruRU;Теперь, как я должен убрать этих механических негодяев с моих полей?
233;0;1;ruRU;Кучка головорезов и воров не заставит меня покинуть мою землю!
233;0;2;ruRU;Они могли бы выгнать всех остальных фермеров, но салдинцы никогда не покинут Западный Край.
234;0;0;ruRU;Жители Западного края приветствуют $n, храброго и доблестного защитника свободы.
234;0;1;ruRU;Всем привет, $n! Защитник народа!
234;0;2;ruRU;Три ура за $n! Эта земля снова станет нашей!
234;1;0;ruRU;Куда бы я ни посмотрел, я вижу воров. Мы, Народное Ополчение, должны вернуть эту землю крестьянам.
234;1;1;ruRU;Фермы должны быть освобождены. Может, Штормград и бросил этих людей, но будь я проклят, если захочу.
234;1;2;ruRU;Народ Западного Края не простит дезертирство Штормграда.
237;0;0;ruRU;Не могу поверить, что заброшенный фургон сломался. Не везет на этой земле...
237;0;1;ruRU;Мы уедем отсюда, как только я починю этот фургон...
238;0;0;ruRU;Не волнуйся, старина Бланчи, скорей принеси тебе что-нибудь поесть...
238;0;1;ruRU;Я никогда не думал, что настанет день, когда я покину свою родину, Западный Край...
251;0;0;ruRU;Тут ничего не происходит...
253;0;0;ruRU;Это не должно занять много времени...
253;1;0;ruRU;Напиток-невидимка готов для тебя, $n.
257;0;0;ruRU;Ты не бери свечу!
257;0;1;ruRU;Иииииии! Я бегу!
257;0;2;ruRU;Нет, убей меня! Нет, убей меня!
263;0;0;ruRU;Нежить ползает по всей земле. Где армия Штормграда?
263;0;1;ruRU;Один только Ночной Дозор не может защищать нас вечно. Нам нужна поддержка армии Штормграда.
263;2;0;ruRU;Наблюдатель, сообщи Алтее, что нашему городу угрожает ужасная угроза. Мы должны подготовиться!
263;1;0;ruRU;Это мрачные новости, и я боюсь, что они связаны с отношениями $n с бальзамировщиком.
264;0;0;ruRU;Оставайтесь на дорогах. Лес кишит нежитью.
264;0;1;ruRU;Не бойся. Вскоре Ночной Дозор очистит землю от этой скверны.
264;1;0;ruRU;Это не сулит ничего хорошего. Отправьте разведчиков, чтобы собрать больше информации, и будьте начеку.
264;2;0;ruRU;Нас остановит не только гниющий труп!
265;0;0;ruRU;Я чувствую назревание зла. . . .
265;0;1;ruRU;Звезды говорят со мной. Они шепчутся об ужасах, ожидающих в ночи.
265;0;2;ruRU;Будущее таит в себе много смерти и неопределенности, как и прошлое.
265;0;3;ruRU;Духи шепчут мне на ухо. Они беспокойны и полны беспокойства.
268;0;0;ruRU;%s начинает перевод...
268;1;0;ruRU;$n, перевод завершен!
269;0;0;ruRU;Совет Сумеречного леса должен принять меры. Зло витает в воздухе.
